mallid,mall,state,county,geoid
1,2ND Street District,Bexar County,texas,48029
2,321 North,Broward County,florida,12011
3,4S Commons Town Center,San Diego County,california,6073
4,ABQ Uptown,Bernalillo County,new mexico,35001
5,Adirondack Outlet Mall,Washington County,new york,36115
6,Adrian Mall,Lenawee County,michigan,26091
7,Akers Mill Square,Fulton County,georgia,13121
9,Alamance Crossing,Alamance County,north carolina,37001
10,Alameda Towne Centre,Contra Costa County,california,6013
11,Alamo Quarry Market,Bexar County,texas,48029
12,Albany Mall,Montgomery County,alabama,1101
13,Alderwood,Kitsap County,washington,53035
14,Alexandria Mall,Rapides Parish,louisiana,22079
15,Algonquin Commons,McHenry County,illinois,17111
16,Almaden Plaza Shopping Center,Santa Clara County,california,6085
17,Almeda Mall,Harris County,texas,48201
19,Altamonte Mall,Orange County,florida,12095
20,Alton Square Mall,Jersey County,illinois,17083
21,Americana Manhasset,Nassau County,new york,36059
22,Amerige Heights Town Center,Orange County,california,6059
23,Anaheim Town Square,Orange County,california,6059
24,Anderson Mall,Anderson County,south carolina,45007
26,Animas Valley Mall,San Juan County,new mexico,35045
27,Annapolis Harbour Center,Anne Arundel County,maryland,24003
28,Annapolis Towne Centre at Parole,Anne Arundel County,maryland,24003
29,Antelope Valley Mall,Los Angeles County,california,6037
30,Apache Mall,Olmsted County,minnesota,27109
31,Apple Blossom Mall,Winchester city,virginia,51840
32,Arbor Place,Douglas County,georgia,13097
33,Arboretum at Great Hills,Travis County,texas,48453
34,Arden Fair,Sacramento County,california,6067
35,Arizona Center,Maricopa County,arizona,4013
36,Arizona Mills,Maricopa County,arizona,4013
37,Arlington Highlands,Tarrant County,texas,48439
38,Arnot Mall,Chemung County,new york,36015
39,Arrowhead Mall,Muskogee County,oklahoma,40101
40,Arrowhead Towne Center,Maricopa County,arizona,4013
41,Arsenal Mall,Suffolk County,massachusetts,25025
42,Arundel Mills,Baltimore city,maryland,24510
43,Asbury Park,Monmouth County,new jersey,34025
44,Asheville Mall,Buncombe County,north carolina,37021
45,Ashland Town Center,Los Angeles County,california,6037
46,Ashland Town Center,Boyd County,kentucky,21019
47,Ashtabula Towne Square,Ashtabula County,ohio,39007
48,Aspen Grove,Jefferson County,colorado,8059
49,Atlantic Station Town Center,Fulton County,georgia,13121
50,Atrium Mall,Suffolk County,massachusetts,25025
51,Auburn Mall,Worcester County,massachusetts,25027
52,Auburn Mall,Androscoggin County,maine,23001
53,Augusta Exchange,Richmond County,georgia,13245
54,Augusta Mall,Richmond County,georgia,13245
55,Aurora City Place,Washington County,maine,23029
56,Aventura Mall,Broward County,florida,12011
57,Aviation Mall,Washington County,new york,36115
58,Bal Harbour Shops,Miami-Dade County,florida,12086
59,Baldwin Hills Crenshaw Plaza,Los Angeles County,california,6037
60,Ballston Common Mall,Dinwiddie County,virginia,51053
61,Bangor Mall,Hancock County,maine,23009
62,Barefoot Landing,Chemung County,new york,36015
63,Barracks Road Shopping Center,Moody County,south dakota,46101
64,Barrett Pavilion,Cobb County,georgia,13067
65,Barton Creek Square,Travis County,texas,48453
66,Bartow Marketplace,Mercer County,new jersey,34021
67,Bassett Place,El Paso County,texas,48141
68,Battlefield Mall,Greene County,missouri,29077
69,Bay City Mall,Bay County,michigan,26017
70,Bay Park Square,Brown County,wisconsin,55009
71,Bay Plaza Shopping Center,Sussex County,virginia,51183
72,Bay Street,Contra Costa County,california,6013
73,Baybrook Mall,Galveston County,texas,48167
74,Bayfair Center,Alameda County,california,6001
75,Bayshore Mall,Humboldt County,california,6023
76,Bayshore Town Center,Waukesha County,wisconsin,55133
77,Bayside Marketplace,Miami-Dade County,florida,12086
78,Beachwood Place,Geauga County,ohio,39055
79,Beaver Valley Mall,Beaver County,pennsylvania,42007
80,Bel Air Mall,Mobile County,alabama,1097
81,Bella Terra-Huntington Beach,Orange County,california,6059
82,Belle Hall Shopping Center,Charleston County,south carolina,45019
83,Bellevue Square,King County,washington,53033
84,Bellingham Shopping,Norfolk County,massachusetts,25021
85,Bellis Fair,Whatcom County,washington,53073
86,Belmar,Denver County,colorado,8031
87,Beltway Plaza Mall,District of Columbia,district of columbia,11001
88,Berkshire Mall,Calhoun County,south carolina,45017
89,Berkshire Mall,Berks County,pennsylvania,42011
90,Beverly Center,Los Angeles County,california,6037
91,Biltmore Fashion Park,Maricopa County,arizona,4013
92,Biltmore Park Town Square,Buncombe County,north carolina,37021
93,Biltmore Square Mall,Buncombe County,north carolina,37021
94,Birchwood Mall,St. Clair County,michigan,26147
95,Birkdale Village,Mecklenburg County,north carolina,37119
96,Blackhawk Plaza,Contra Costa County,california,6013
97,Bloomingdale Court,DuPage County,illinois,17043
98,Blue Back Square,Hartford County,connecticut,9003
99,Blue Oaks Town Center,Sacramento County,california,6067
100,Boise Towne Square,Ada County,idaho,16001
101,Bon Air Center,Washington County,maine,23029
102,Bonita Lakes Mall,Lauderdale County,mississippi,28075
103,Borgata of Scottsdale,Maricopa County,arizona,4013
104,Boulevard Mall,Erie County,new york,36029
105,Bowie Town Center,Anne Arundel County,maryland,24003
106,Boynton Beach Mall,Palm Beach County,florida,12099
107,Bradley Square Mall,Bradley County,tennessee,47011
108,Braelinn Village,Fulton County,georgia,13121
109,Brambleton Town Center,Cascade County,montana,30013
110,Branson Landing,Taney County,missouri,29213
111,Brass Mill Center & Commons,New Haven County,connecticut,9009
112,Brazos River Factory Stores,Parker County,texas,48367
113,Brea Downtown,Orange County,california,6059
114,Brea Mall,Orange County,california,6059
115,Briarwood Mall,Washtenaw County,michigan,26161
116,Bridge Street Town Centre,Madison County,alabama,1089
117,Bridgeport Village,Multnomah County,oregon,41051
118,Bridgewater Commons,Somerset County,new jersey,34035
119,Bridgewater Falls,Butler County,ohio,39017
120,Brier Creek Commons,Durham County,north carolina,37063
121,Bristol Mall,Bristol city,virginia,51520
122,Broadway at the Beach,Horry County,south carolina,45051
123,Broadway Mall,Nassau County,new york,36059
124,Broadway Plaza,Contra Costa County,california,6013
125,Broadway Square,Smith County,texas,48423
126,Brookdale Center,Baltimore city,maryland,24510
127,Brookfield Square,Waukesha County,wisconsin,55133
128,Brookwood Marketplace,Fulton County,georgia,13121
129,Brookwood Square,Windham County,vermont,50025
130,Brunswick Square,Middlesex County,new jersey,34023
131,Buckhead Crossing,Appomattox County,virginia,51011
132,Buena Park Downtown,Orange County,california,6059
133,Burbank Town Center,Los Angeles County,california,6037
134,Burlington Center Mall,Burlington County,new jersey,34005
135,Burlington Mall,Middlesex County,massachusetts,25017
136,Burlington Town Center,Chittenden County,vermont,50007
137,Burnsville Center,Dakota County,minnesota,27037
138,Butler Plaza/Miracle Mile,Alachua County,florida,12001
139,Cache Valley Mall,Cache County,utah,49005
140,CambridgeSide Galleria,Suffolk County,massachusetts,25025
141,Camelback Colonnade,Maricopa County,arizona,4013
142,Camp Creek Marketplace,Clayton County,georgia,13063
143,Cannon Village,Miami-Dade County,florida,12086
144,Canton Marketplace,Cherokee County,georgia,13057
145,Canyon Center,Los Angeles County,california,6037
146,Canyon Crest Towne Centre,Orange County,california,6059
147,Cape Cod Mall,Barnstable County,massachusetts,25001
148,Capital City Mall,Dauphin County,pennsylvania,42043
149,Capital Mall,Cole County,missouri,29051
150,Capitola Mall,Santa Cruz County,california,6087
151,Carmel Mountain Plaza,San Diego County,california,6073
152,Carmel Plaza,Pacific County,washington,53049
153,Carolina Mall,Cabarrus County,north carolina,37025
154,Carolina Place,Mecklenburg County,north carolina,37119
155,Carousel Center,Onondaga County,new york,36067
156,Carrollton Crossroads,Marion County,tennessee,47115
157,Cary Towne Center,Wake County,north carolina,37183
158,Cascade Mall,Skagit County,washington,53057
159,Cascade Station,Multnomah County,oregon,41051
160,Castleton Square,Marion County,indiana,18097
161,Cedar Creek Mall,Marathon County,wisconsin,55073
162,Cedar Hills Crossing,Washington County,oregon,41067
163,Centerpoint Mall,Ventura County,california,6111
164,Centerpointe Mall,Kent County,michigan,26081
165,Central Mall,Saline County,kansas,20169
166,Central Mall,Comanche County,oklahoma,40031
167,Central Mall,Jefferson County,texas,48245
168,Central Mall Fort Smith,Sebastian County,arkansas,5131
169,Central Mall Texarkana,Miller County,arkansas,5091
170,Central Park/Marketplace/Town Ctr,Fredericksburg city,virginia,51630
171,Centre at Forestville,Anne Arundel County,maryland,24003
172,Centre at Glen Burnie,Baltimore city,maryland,24510
173,Century III Mall,Allegheny County,pennsylvania,42003
174,Cielo Vista,El Paso County,texas,48141
175,Circle Centre,Marion County,indiana,18097
176,Citadel Mall,Charleston County,south carolina,45019
177,Citadelle Plaza,Liberty County,montana,30051
178,CityCentre,Nobles County,minnesota,27105
179,CityPlace,Orange County,california,6059
180,CityPlace,Palm Beach County,florida,12099
181,CitySquare,Cumberland County,new jersey,34011
182,Clackamas Town Center,Multnomah County,oregon,41051
183,Clairemont Town Square S/C,San Diego County,california,6073
184,Clay Terrace,Hamilton County,indiana,18057
185,Clearview Mall,St. Charles Parish,louisiana,22089
186,Clearview Mall,Butler County,pennsylvania,42019
187,Clifton Park Center,Schenectady County,new york,36093
188,Coastal Grand,Horry County,south carolina,45051
189,Coastland Center,Collier County,florida,12021
190,Cobb Place,Monroe County,tennessee,47123
191,Cobblestone Court,Seneca County,new york,36099
192,Coconut Point,Lee County,florida,12071
193,Coddingtown Mall,Sonoma County,california,6097
194,College Mall,Monroe County,indiana,18105
195,College Square,Hamblen County,tennessee,47063
196,College Square Hall,Black Hawk County,iowa,19013
197,Collin Creek,Collin County,texas,48085
198,Colonial Brookwood Village,Jefferson County,alabama,1073
199,Colonial Park Mall,Dauphin County,pennsylvania,42043
200,Colonial Pinnacle at Nord Du Luc,Tangipahoa Parish,louisiana,22105
201,Colonial Pinnacle At Portofino,Jefferson County,alabama,1073
202,Colonial Promenade Beechwood,Passaic County,new jersey,34031
203,Colonie Center,Albany County,new york,36001
204,Colony Place at Plymouth,Plymouth County,massachusetts,25023
205,Colony Square Mall,Muskingum County,ohio,39119
206,Colorado Mills,Jefferson County,colorado,8059
207,Columbia Center,Benton County,washington,53005
208,Columbia Mall,Boone County,missouri,29019
209,Columbia Place,Richland County,south carolina,45079
210,Columbiana Centre,Lexington County,south carolina,45063
211,Columbiana Station,Lexington County,south carolina,45063
212,Columbus Park Crossing,Muscogee County,georgia,13215
213,Columbus Square,Franklin County,ohio,39049
214,Concord Mall,Elkhart County,indiana,18039
215,Concord Mills,Cabarrus County,north carolina,37025
216,Conestoga Mall,Hall County,nebraska,31079
217,Conyers Crossroads,Rockdale County,georgia,13247
218,CoolSprings Galleria,Williamson County,tennessee,47187
219,Copaco Shopping Center,Hartford County,connecticut,9003
220,Copley Place,Suffolk County,massachusetts,25025
221,Coral Ridge Mall,Johnson County,iowa,19103
222,Coral Square,Broward County,florida,12011
223,Cordova Mall,Escambia County,florida,12033
224,Coronado Center,Bernalillo County,new mexico,35001
225,Cosner's Corner,Fredericksburg city,virginia,51630
226,Cottonwood Mall,Bernalillo County,new mexico,35001
227,Country Club Mall,Allegany County,maryland,24001
228,Country Club Plaza,Onondaga County,new york,36067
229,Country Club Plaza,Sacramento County,california,6067
230,Countryside Plaza,DuPage County,illinois,17043
231,County Fair Mall,Yolo County,california,6113
232,Coventry Mall,Montgomery County,pennsylvania,42091
233,Crabtree Valley Mall,Wake County,north carolina,37183
234,Crestview Hills Town Center,Kenton County,kentucky,21117
235,Crestwood Court,St. Louis County,missouri,29189
236,Crocker Park/Promenade at Crocker,Lorain County,ohio,39093
237,Cross Country Plaza Shopping Ctr.,Harris County,georgia,13145
238,Cross County Shopping Center,Bronx County,new york,36005
239,Cross Creek Mall,Cumberland County,north carolina,37051
240,Crossgates Mall,Albany County,new york,36001
241,Crossings at Corona,Orange County,california,6059
242,Crossroads Bellevue,Adams County,north dakota,38001
243,Crossroads Center,Benton County,minnesota,27009
244,Crossroads Center,McLean County,illinois,17113
245,Crossroads Center Waterloo,Black Hawk County,iowa,19013
246,Crossroads Mall,Webster County,iowa,19187
247,Crossroads Mall,Oklahoma County,oklahoma,40109
248,Crossroads Mall,Raleigh County,west virginia,54081
249,Crossroads Plaza,Greenlee County,arizona,4011
250,Crown Center Shops,Wyandotte County,kansas,20209
251,Crystal Court,Beadle County,south dakota,46005
252,Crystal Mall,New London County,connecticut,9011
253,Crystal River Mall,Citrus County,florida,12017
254,Cumberland Mall,Cumberland County,new jersey,34011
255,Cumberland Mall,Fulton County,georgia,13121
256,Cumberland Mall,Fulton County,georgia,13121
257,Cumming Marketplace,Forsyth County,georgia,13117
258,Dadeland Mall,Miami-Dade County,florida,12086
259,Dakota Square,Ward County,north dakota,38101
260,Dana Park Village Square,Pinal County,arizona,4021
261,Danbury Fair,Fairfield County,connecticut,9001
262,Dare Centre,Currituck County,north carolina,37053
263,Dartmouth Mall,Bristol County,massachusetts,25005
264,Dayton Mall,Montgomery County,ohio,39113
265,Decatur Mall,Morgan County,alabama,1103
266,Deer Park Town Center,DuPage County,illinois,17043
267,Deerbrook Mall,Harris County,texas,48201
268,Deerbrook Shopping Center,Cook County,illinois,17031
269,Del Amo Fashion Center,Los Angeles County,california,6037
270,Del Mar Plaza,San Diego County,california,6073
271,Del Monte Center,Santa Cruz County,california,6087
272,Denver Pavilions,Denver County,colorado,8031
273,Denver West Village,Jefferson County,colorado,8059
274,Deptford Mall,Camden County,new jersey,34007
275,Derby Street Shoppes,Suffolk County,massachusetts,25025
276,Desert Ridge Marketplace,Maricopa County,arizona,4013
277,Desert Sky Mall,Maricopa County,arizona,4013
278,DeSoto Square,Manatee County,florida,12081
279,Destin Commons,Washington County,maine,23029
280,DeVargas Mall,Santa Fe County,new mexico,35049
281,Diamond Run Mall,Rutland County,vermont,50021
283,Dolphin Mall,Miami-Dade County,florida,12086
284,Donaldson's Crossroads,Allegheny County,pennsylvania,42003
285,Dover Commons,Kent County,delaware,10001
286,Dover Mall,Kent County,delaware,10001
287,Downtown Oak Park,Cook County,illinois,17031
288,Downtown Park Forest,Will County,illinois,17197
289,Downtown Pleasant Hill,Contra Costa County,california,6013
290,Downtown Silver Spring,District of Columbia,district of columbia,11001
291,Downtown Sunnyvale,St. Louis city,missouri,29510
292,DuBois Mall,Jefferson County,pennsylvania,42065
293,Dulles Town Center Mall,Loudoun County,virginia,51107
294,Dutch Square Mall,Richland County,south carolina,45079
295,Eagle Ridge Mall,Polk County,florida,12105
296,Eagle Rock Plaza,Los Angeles County,california,6037
297,East Gate Square,Lanier County,georgia,13173
298,East Hills Mall,Buchanan County,missouri,29021
299,East Towne Mall,Dane County,wisconsin,55025
300,Eastern Hills Mall,Erie County,new york,36029
301,Eastern Shore Centre,Baldwin County,alabama,1003
302,Eastfield Mall,Hampden County,massachusetts,25013
303,EastGate Mall,Clermont County,ohio,39025
304,Eastland Center Harper Woods,Macomb County,michigan,26099
305,Eastland Mall,McLean County,illinois,17113
306,Eastland Mall,Vanderburgh County,indiana,18163
307,Eastland Mall Columbus,Franklin County,ohio,39049
308,Eastland Mall NC,Mecklenburg County,north carolina,37119
309,Easton Town Center,Franklin County,ohio,39049
310,Eastpoint Mall,Baltimore city,maryland,24510
311,Eastridge,Santa Clara County,california,6085
312,Eastridge Mall,Natrona County,wyoming,56025
313,Eastview,Ontario County,new york,36069
314,Eastwood Mall Complex,Trumbull County,ohio,39155
315,Eastwood Towne Center,Ingham County,michigan,26065
316,Eden Prairie Center,Hennepin County,minnesota,27053
317,Eden Prairie Center,Hennepin County,minnesota,27053
318,Edgewater Mall,Harrison County,mississippi,28047
319,Edgewood Mall,Pike County,mississippi,28113
320,Edinburgh Commons,Chesapeake city,virginia,51550
321,Edison Mall,Lee County,florida,12071
322,Eisenhower Crossing,Delaware County,ohio,39041
323,El Cerrito Plaza,Contra Costa County,california,6013
324,Embarcadero Center,Contra Costa County,california,6013
325,Embry Village,DeKalb County,georgia,13089
326,Emerald Square,Providence County,rhode island,44007
327,Empire Mall,Minnehaha County,south dakota,46099
328,Enfield Square Mall,Hampden County,massachusetts,25013
329,Eton Chagrin Boulevard,Geauga County,ohio,39055
330,Everett Mall,Snohomish County,washington,53061
331,Exton Square Mall,Chester County,pennsylvania,42029
332,Factory Stores of America,Marshall County,alabama,1095
333,Fair City Mall,Fairfax County,virginia,51059
334,Fair Oaks Mall,Fairfax city,virginia,51600
335,Fair Oaks Mall,Bartholomew County,indiana,18005
336,Fairfax Corner,Fairfax city,virginia,51600
337,Fairgrounds Square Mall,Berks County,pennsylvania,42011
338,Fairlane Town Center,Wayne County,michigan,26163
339,Faneuil Hall Marketplace,Suffolk County,massachusetts,25025
340,Fashion Centre at Pentagon City,Arlington County,virginia,51013
341,Fashion Fair,Fresno County,california,6019
342,Fashion Island,Orange County,california,6059
343,Fashion Mall at Keystone,Marion County,indiana,18097
344,Fashion Place,Salt Lake County,utah,49035
345,Fashion Show,Clark County,nevada,32003
346,Fashion Square,Saginaw County,michigan,26145
347,Fashion Valley,San Diego County,california,6073
348,Fayette Mall,Fayette County,kentucky,21067
349,Fayette Pavilion,Clayton County,georgia,13063
350,Federal Plaza,Montgomery County,maryland,24031
351,Festival at Waldorf,Charles County,maryland,24017
352,Festival Bay Mall,Orange County,florida,12095
353,Fiesta Mall,Maricopa County,arizona,4013
354,Findlay Village Mall,Hancock County,ohio,39063
355,Fingerlakes Mall,Cayuga County,new york,36011
356,Firewheel Town Center,Rockwall County,texas,48397
357,First & Main Hudson,Summit County,ohio,39153
358,First Colony Mall,Fort Bend County,texas,48157
359,Five Points Mall,Grant County,indiana,18053
360,Flagstaff Mall,Coconino County,arizona,4005
361,Flamingo Pines Shopping Center,Broward County,florida,12011
362,FlatIron Crossing,Broomfield County,colorado,8014
363,Florence Mall,Boone County,kentucky,21015
364,Foothill Village,Bureau County,illinois,17011
365,Foothills Mall,Pinal County,arizona,4021
366,Foothills Mall,Blount County,tennessee,47009
367,Foothills Mall,Larimer County,colorado,8069
368,Ford City Mall,Cook County,illinois,17031
369,Forest Mall,Fond du Lac County,wisconsin,55039
370,Forest Plaza,Winnebago County,illinois,17201
371,Fort Steuben Mall,Jefferson County,ohio,39081
372,Fountains at Roseville,Sacramento County,california,6067
373,Four Seasons Town Centre,Guilford County,north carolina,37081
374,Fox River Mall,Outagamie County,wisconsin,55087
375,Fox Run Mall,Rockingham County,new hampshire,33015
376,Francis Scott Key Mall,Frederick County,maryland,24021
377,Frandor Shopping Center,Ingham County,michigan,26065
378,Franklin Mills,Philadelphia County,pennsylvania,42101
379,Freehold Raceway Mall,Monmouth County,new jersey,34025
380,Fremont Hub,Alameda County,california,6001
381,Friendly Center,Guilford County,north carolina,37081
382,Frontier Mall,Laramie County,wyoming,56021
383,Gadsden Mall,Etowah County,alabama,1055
384,Gaithersburg Square,Lake County,indiana,18089
385,Gaitway Plaza,Marion County,florida,12083
386,Gallatin Valley Mall,Gallatin County,montana,30031
387,Galleria,Ramsey County,north dakota,38071
388,Galleria At Crystal Run,Orange County,new york,36071
389,Galleria at Pittsburgh Mills,Allegheny County,pennsylvania,42003
390,Galleria at Tyler,Orange County,california,6059
391,Galleria Dallas,Dallas County,texas,48113
392,Gallery at South DeKalb,DeKalb County,georgia,13089
393,Garden City Center,Kent County,rhode island,44003
394,Gateway Fashion Mall,Los Angeles County,california,6037
395,Gateway Mall,Lane County,oregon,41039
396,Gateway Shopping Center,Travis County,texas,48453
397,Genesee Valley Center,Genesee County,michigan,26049
398,Geneva Commons,Kane County,illinois,17089
399,Georgia Square,Clarke County,georgia,13059
400,Gilbert Town Square,Pinal County,arizona,4021
401,Glenbrook Square,Allen County,indiana,18003
402,Glendale Galleria,Los Angeles County,california,6037
403,Gloster Creek Village,Amite County,mississippi,28005
404,Glynn Place,Glynn County,georgia,13127
405,GM Renaissance Center,Newport News city,virginia,51700
406,Golden East Crossing,Nash County,north carolina,37127
407,Golden Triangle Mall,Denton County,texas,48121
408,Golf Mill Shopping Center,Cook County,illinois,17031
409,Governor's Square,Leon County,florida,12073
410,Governor's Square Mall,Montgomery County,tennessee,47125
411,Grand Central Mall,Wood County,west virginia,54107
412,Grand Central Terminal,New York County,new york,36061
413,Grand Cities Mall,Grand Forks County,north dakota,38035
414,Grand Teton Mall,Bonneville County,idaho,16019
415,Grand Traverse Mall,Grand Traverse County,michigan,26055
416,Grand Traverse Mall,Grand Traverse County,michigan,26055
417,Grapevine Mills,Denton County,texas,48121
418,Great Lakes Crossing,Oakland County,michigan,26125
419,Great Lakes Mall,Geauga County,ohio,39055
420,Great Lakes Plaza,Geauga County,ohio,39055
421,Great Mall,Alameda County,california,6001
422,Great Northern Mall,Onondaga County,new york,36067
423,Great Northern Plazas,Summit County,ohio,39153
424,Great Southern Shopping Center,Washington County,maine,23029
425,Greeley Mall,Weld County,colorado,8123
426,Green Acres Mall,Queens County,new york,36081
427,Green Tree Mall,Floyd County,indiana,18043
428,Green Valley Village,Santa Cruz County,arizona,4023
429,Greenbriar Mall,Fulton County,georgia,13121
430,Greenbrier Mall,Chesapeake city,virginia,51550
431,Greendale Mall,Worcester County,massachusetts,25027
432,Greenspoint Mall,Harris County,texas,48201
433,Greenville Mall,Pitt County,north carolina,37147
434,Greenway Station,Dane County,wisconsin,55025
435,Greenwood Mall,Warren County,kentucky,21227
436,Greenwood Park Mall,Johnson County,indiana,18081
437,Gresham Station,Multnomah County,oregon,41051
438,Griffin Crossroads,Starr County,texas,48427
439,Grossmont Center,San Diego County,california,6073
440,Gulf Coast Town Center,Lee County,florida,12071
441,Gulf View Square,Pasco County,florida,12101
442,Gulfway Plaza at LaMarque,Galveston County,texas,48167
443,Gurnee Mills,McHenry County,illinois,17111
444,Gwinnett Place,Gwinnett County,georgia,13135
445,Hacienda Crossings,Alameda County,california,6001
446,Hamburg Pavilion/Hamburg Village,Fayette County,kentucky,21067
447,Hamilton Mall,Atlantic County,new jersey,34001
448,Hamilton Place,Hamilton County,tennessee,47065
449,Hamilton Town Center,Hamilton County,indiana,18057
450,Hampshire Mall,Hampshire County,massachusetts,25015
451,Hanes Mall,Forsyth County,north carolina,37067
452,Hanford Mall,Kings County,california,6031
453,Hanover Mall,Plymouth County,massachusetts,25023
454,Harbor East,Baltimore city,maryland,24510
455,Harborplace & The Gallery,Baltimore city,maryland,24510
456,Harden Ranch Plaza,Santa Cruz County,california,6087
457,Harford Mall,Harford County,maryland,24025
458,HarMar Mall,Ramsey County,minnesota,27123
459,Harrisburg Mall,Dauphin County,pennsylvania,42043
460,Haywood Mall,Greenville County,south carolina,45045
461,Heritage Mall,Benton County,oregon,41003
462,Hickory Hollow Mall,Davidson County,tennessee,47037
463,Hickory Point Mall,Macon County,illinois,17115
464,Hickory Point Mall,Macon County,illinois,17115
465,Hickory Ridge Mall,Sarasota County,florida,12115
466,Highland Mall,Travis County,texas,48453
467,Hill Country Galleria,Travis County,texas,48453
468,Hilldale Mall,Brown County,wisconsin,55009
469,Hillsdale Shopping Center,San Mateo County,california,6081
470,Hilltop Mall,Buffalo County,nebraska,31019
471,Hilltop Mall,Contra Costa County,california,6013
472,Holiday Village,Cascade County,montana,30013
473,Holly Hill Mall,Alamance County,north carolina,37001
474,Hollywood & Highland Center,Los Angeles County,california,6037
475,Holyoke Mall at Ingleside,Hampden County,massachusetts,25013
476,Honey Creek Mall,Vigo County,indiana,18167
477,Hot Springs Mall,Garland County,arkansas,5051
478,Houston County Galleria,Peach County,georgia,13225
479,Hudson Mall,Hudson County,new jersey,34017
480,Hudson Valley Mall,Ulster County,new york,36111
481,Hulen Mall,Tarrant County,texas,48439
482,Hunt Valley Towne Centre,Baltimore County,maryland,24005
483,Huntington Mall,Cabell County,west virginia,54011
484,Chambersburg Mall,Franklin County,pennsylvania,42055
485,Champions Village,Harris County,texas,48201
486,Champlain Centre,Clinton County,new york,36019
487,Chandler Fashion Center,Maricopa County,arizona,4013
488,Chandler Fashion Center,Maricopa County,arizona,4013
489,Chapel Hill Mall,Summit County,ohio,39153
490,Chapel Hill Mall,Summit County,ohio,39153
491,Chapel Hills Mall,El Paso County,colorado,8041
492,Charleston Town Center Mall,Kanawha County,west virginia,54039
493,Charlottesville Fashion Square,Charlottesville city,virginia,51540
494,Chautauqua Mall,Chautauqua County,new york,36013
495,Cherry Creek,Denver County,colorado,8031
496,Cherry Hill Mall,Philadelphia County,pennsylvania,42101
497,CherryVale Mall,Boone County,illinois,17007
498,CherryVale Mall,Boone County,illinois,17007
499,Chesapeake Center,Portsmouth city,virginia,51740
