mallid,mall,state,county,geoid
500,Chesapeake Square,Portsmouth city,virginia,51740
501,Chesterfield Mall,St. Louis County,missouri,29189
502,Chesterfield Towne Center,Richmond city,virginia,51760
503,Chico Mall,Butte County,california,6007
504,Chico Mall,Butte County,california,6007
505,Chino Spectrum Marketplace,Orange County,california,6059
506,Christiana Mall,New Castle County,delaware,10003
507,Christown Spectrum Mall,Maricopa County,arizona,4013
508,Chula Vista Center,San Diego County,california,6073
509,Chula Vista Center,San Diego County,california,6073
510,Church Street Marketplace,Chittenden County,vermont,50007
511,Illinois Centre,Cumberland County,illinois,17035
512,Imperial Valley Mall,Imperial County,california,6025
513,Independence Center,Jackson County,missouri,29095
514,Independence Mall,Plymouth County,massachusetts,25023
515,Indian Mound Mall,Licking County,ohio,39089
516,Indian River Mall,Indian River County,florida,12061
517,Indiana Mall,Indiana County,pennsylvania,42063
518,Ingram Park Mall,Bexar County,texas,48029
519,Inland Center,Orange County,california,6059
520,International Plaza,Hillsborough County,florida,12057
521,Irvine Spectrum Center,Orange County,california,6059
522,Irving Mall,Dallas County,texas,48113
523,Iverson Mall,Prince George's County,maryland,24033
524,Jacksonville Mall,Onslow County,north carolina,37133
525,Jamestown Mall,Columbia County,oregon,41009
526,Janaf Shopping Yard,Shenandoah County,virginia,51171
527,Janesville Mall,Rock County,wisconsin,55105
528,Japan Center,Marin County,california,6041
529,Jefferson Mall,Jefferson County,kentucky,21111
530,Jefferson Pointe,Allen County,indiana,18003
531,Jefferson Square,Jefferson County,arkansas,5069
532,Jefferson Valley Mall,Putnam County,new york,36079
533,Jersey Gardens,Hudson County,new jersey,34017
534,Jordan Creek Town Center,Dallas County,iowa,19049
535,Jordan Landing Shopping Center,Salt Lake County,utah,49035
537,Kaleidoscope at the Hub,Fulton County,georgia,13121
538,Kandi Mall,Kandiyohi County,minnesota,27067
539,Karcher Mall,Kitsap County,washington,53035
540,Katy Mills,Fort Bend County,texas,48157
541,Kennedy Mall,Dubuque County,iowa,19061
542,Kent Station,Tyler County,west virginia,54095
543,Kentucky Oaks Mall,McCracken County,kentucky,21145
544,Kenwood Towne Centre,Hamilton County,ohio,39061
546,Kierland Commons,Maricopa County,arizona,4013
547,Kierland Commons,Maricopa County,arizona,4013
548,Killeen Mall,Bell County,texas,48027
549,King of Prussia Mall,Montgomery County,pennsylvania,42091
550,Kings Plaza Shopping Center,Kings County,new york,36047
551,Kings Village,Santa Cruz County,california,6087
552,Kingsgate Center North & South,Lubbock County,texas,48303
553,Kingsport Town Center,Sullivan County,tennessee,47163
554,Kirkwood Mall,Burleigh County,north dakota,38015
555,Kitsap Mall,Kitsap County,washington,53035
556,Knollwood Mall,Hennepin County,minnesota,27053
557,Knoxville Center,Knox County,tennessee,47093
561,La Cumbre Plaza,Santa Barbara County,california,6083
562,La Cumbre Plaza,Santa Barbara County,california,6083
563,La Encantada,Pinal County,arizona,4021
564,La Plaza Mall,Hidalgo County,texas,48215
565,LaCenterra at Cinco Ranch,Fort Bend County,texas,48157
566,Lafayette Square,Medina County,ohio,39103
567,Laguna Hills Mall,Orange County,california,6059
568,Lake Arrowhead Village,Medina County,texas,48325
569,Lake Forest Park Towne Centre,Kitsap County,washington,53035
570,Lake Square Mall,Lake County,florida,12069
571,Lake Sumter Landing Market Square,Sumter County,florida,12119
572,Lakeforest Mall,Montgomery County,maryland,24031
573,Lakeland Plaza,Wheeler County,georgia,13309
574,Lakeland Square,Polk County,florida,12105
575,Lakeline Mall,Williamson County,texas,48491
576,Lakeline Plaza,Williamson County,texas,48491
577,Lakeline Village,Travis County,texas,48453
578,Lakeport Commons,DuPage County,illinois,17043
579,Lakeshore Mall,Hall County,georgia,13139
580,Lakeshore Mall,Highlands County,florida,12055
581,Lakeside Mall,Macomb County,michigan,26099
582,Lakeside Plaza,Douglas County,nebraska,31055
583,Lakeside Shopping Center,St. Charles Parish,louisiana,22089
584,Lakeview Square Mall,Calhoun County,michigan,26025
585,Lakewood Center,Orange County,california,6059
586,Lancaster Mall,Marion County,oregon,41047
587,Lancaster Marketplace,Los Angeles County,california,6037
588,Landmark Mall,Alexandria city,virginia,51510
589,Lansing Mall,Clinton County,michigan,26037
590,Larkridge & Larkridge South,Denver County,colorado,8031
591,Laurel Commons,Howard County,maryland,24027
592,Laurel Park Place,Wayne County,michigan,26163
593,Layton Hills Mall,Davis County,utah,49011
594,Lebanon Valley Mall,Lebanon County,pennsylvania,42075
595,Legacy Place,Norfolk County,massachusetts,25021
596,Legacy Village,Geauga County,ohio,39055
597,Lehigh Valley Mall,Lehigh County,pennsylvania,42077
598,Lenox Square,Fulton County,georgia,13121
599,Lenox Square,Fulton County,georgia,13121
600,Liberty Plaza,Philadelphia County,pennsylvania,42101
601,Liberty Tree Mall,Essex County,massachusetts,25009
602,Lima Mall,Allen County,ohio,39003
603,Lincoln Mall,Will County,illinois,17197
604,Lincoln Mall,Providence County,rhode island,44007
605,Lincoln Road Pedestrian Mall,Miami-Dade County,florida,12086
606,Lincolnshire Commons,DuPage County,illinois,17043
607,Lincolnwood Town Center,Cook County,illinois,17031
608,Lindale Mall,Linn County,iowa,19113
609,Livingston Mall,Essex County,new jersey,34013
610,Lloyd Center,Multnomah County,oregon,41051
611,Lodi Station Outlets,Medina County,ohio,39103
612,Logan Valley Mall,Blair County,pennsylvania,42013
613,Lomas Santa Fe Plaza,San Diego County,california,6073
614,Longview Mall,Gregg County,texas,48183
615,Loop/Loop West,Orange County,florida,12095
616,Los Cerritos Center,Los Angeles County,california,6037
617,Los Cerritos Center,Los Angeles County,california,6037
618,Louisiana Boardwalk,Caddo Parish,louisiana,22017
619,Lufkin Mall,Angelina County,texas,48005
620,Lycoming Mall,Lycoming County,pennsylvania,42081
621,Lynnhaven Mall,Virginia Beach city,virginia,51810
622,MacArthur Center,Portsmouth city,virginia,51740
623,MacGregor Village,Wake County,north carolina,37183
624,Mackinaw Crossings,Emmet County,michigan,26047
625,Macomb Mall Shopping Center,Macomb County,michigan,26099
626,Macon Mall,New Hanover County,north carolina,37129
627,Macy's Plaza,Pinal County,arizona,4021
628,Madison Square,Madison County,alabama,1089
629,Magic Valley Mall,Jerome County,idaho,16053
630,Magnolia Mall,Darlington County,south carolina,45031
631,Main Gate Square,Pima County,arizona,4019
632,Main Place Mall,Erie County,new york,36029
633,Main Street at Exton,Boyd County,kentucky,21019
634,Mall at The Source,Nassau County,new york,36059
635,Mall Corners Shopping Center,Gwinnett County,georgia,13135
636,Mall de las Aguilas,Maverick County,texas,48323
637,Mall del Norte,Webb County,texas,48479
638,Mall of Abilene,Taylor County,texas,48441
639,Mall of America,Ramsey County,minnesota,27123
640,"Mall of Georgia Crossing, The",Gwinnett County,georgia,13135
641,Mall of Georgia,Gwinnett County,georgia,13135
642,Mall of Louisiana,East Baton Rouge Parish,louisiana,22033
643,Mall of New Hampshire,Hillsborough County,new hampshire,33011
644,Mall of The Americas,Palm Beach County,florida,12099
645,Mall of the Bluffs,Pottawattamie County,iowa,19155
646,Mall Of The Mainland,Fort Bend County,texas,48157
647,Mall of Victor Valley,Los Angeles County,california,6037
648,Mall St. Vincent,Caddo Parish,louisiana,22017
649,Manassas Mall,Manassas city,virginia,51683
650,Manhattan Town Center,Riley County,kansas,20161
651,Manhattan Village,Los Angeles County,california,6037
652,Manchester Center,Fresno County,california,6019
653,Maplewood Mall,Ramsey County,minnesota,27123
654,Market Place Shopping Center,Champaign County,illinois,17019
655,Market Street The Woodlands,Montgomery County,texas,48339
656,MarketFair,Mercer County,new jersey,34021
657,Marketplace at Austin Bluffs,Denver County,colorado,8031
658,Markland Plaza,Howard County,indiana,18067
659,Marley Station,Anne Arundel County,maryland,24003
660,Martinsburg Mall,Brevard County,florida,12009
662,Mayfair,Waukesha County,wisconsin,55133
663,Mayfaire Town Center,New Hanover County,north carolina,37129
665,McCain Mall,Pulaski County,arkansas,5119
666,McKinley Mall,Erie County,new york,36029
667,Meadow Glen Mall,Suffolk County,massachusetts,25025
668,Meadowood Mall,Storey County,nevada,32029
669,Meadows Mall,Clark County,nevada,32003
670,Medley Centre,Wayne County,new york,36117
671,Melbourne Square,Brevard County,florida,12009
672,Memorial City Mall,Harris County,texas,48201
673,Menlo Park Mall,Middlesex County,new jersey,34023
674,Merced Mall,Merced County,california,6047
675,Mercer Mall,Polk County,florida,12105
676,Meridian Mall,Ingham County,michigan,26065
677,Merle Hay Mall,Polk County,iowa,19153
678,Merritt Square Mall,Brevard County,florida,12009
679,Mesa Mall,Mesa County,colorado,8077
680,Mesa Mall,Mesa County,colorado,8077
681,Mesilla Valley Mall,Doña Ana County,new mexico,35013
682,Metreon Shopping Centre,San Mateo County,california,6081
683,Metrocenter,Maricopa County,arizona,4013
684,Metrocenter Mall,Maricopa County,arizona,4013
685,Metrocenter Mall,Rankin County,mississippi,28121
686,Metropolis,Hendricks County,indiana,18063
687,Metropolitan,Mecklenburg County,north carolina,37119
688,Meyerland Plaza,Fort Bend County,texas,48157
689,Miami International Mall,Miami-Dade County,florida,12086
690,Miami Valley Centre Mall,Miami County,ohio,39109
691,Mid Rivers Mall,St. Charles County,missouri,29183
692,Midland Mall,Midland County,michigan,26111
693,Midland Park Mall,Midland County,texas,48329
694,Midtown Village,Tuscaloosa County,alabama,1125
695,Midway Mall,Lorain County,ohio,39093
696,Midway Mall,Camas County,idaho,16025
697,Millcreek Mall,Erie County,pennsylvania,42049
698,Miller Hill Mall,Douglas County,wisconsin,55031
699,Mizner Park,Broward County,florida,12011
700,Mondawmin Mall,Baltimore city,maryland,24510
701,Monroe Crossing,Union County,north carolina,37179
702,Monroeville Mall,Allegheny County,pennsylvania,42003
703,Montclair Plaza,Orange County,california,6059
704,Monte Vista Crossings,Wake County,north carolina,37183
705,Montebello Town Center,Los Angeles County,california,6037
706,Montgomery Mall,Montgomery County,pennsylvania,42091
707,Montgomery Village Shopping Ctr.,Sonoma County,california,6097
708,Moorestown Mall,Camden County,new jersey,34007
709,Moreno Valley Mall,Orange County,california,6059
710,Morgantown Mall,Monongalia County,west virginia,54061
711,Mount Berry Square Mall,Floyd County,georgia,13115
712,Mount Pleasant Towne Centre,Charleston County,south carolina,45019
713,Mt. Shasta Mall,Shasta County,california,6089
714,Muncie Mall,Delaware County,indiana,18035
715,Music City Mall,Grand Forks County,north dakota,38035
716,Myrtle Beach Mall,Horry County,south carolina,45051
717,Nanuet Mall,Rockland County,new york,36087
718,Natick Collection,Middlesex County,massachusetts,25017
719,National Harbor,Alexandria city,virginia,51510
720,Nebraska Crossing Factory Stores,Sarpy County,nebraska,31153
721,Neshaminy Mall,Philadelphia County,pennsylvania,42101
722,New River Valley Mall,Williamson County,tennessee,47187
723,New Towne Mall,Tuscarawas County,ohio,39157
724,Newburgh Mall,Orange County,new york,36071
725,Newgate Mall,St. Clair County,alabama,1115
726,NewPark Mall,Alameda County,california,6001
727,Newport Centre,Hudson County,new jersey,34017
728,Newport Crossing,Hudson County,new jersey,34017
729,Newport on the Levee,Hamilton County,ohio,39061
730,Newport Plaza,Hudson County,new jersey,34017
731,Nittany Mall,Centre County,pennsylvania,42027
732,North DeKalb Mall,DeKalb County,georgia,13089
733,North East Mall,Tarrant County,texas,48439
734,North Grand Mall,Story County,iowa,19169
735,North Hanover Mall,Adams County,pennsylvania,42001
736,North Hills,Wake County,north carolina,37183
737,North Point Mall,Forsyth County,georgia,13117
738,North Ridge Shopping Center,Wake County,north carolina,37183
739,North Riverside Park Mall,Cook County,illinois,17031
740,North Shore Square,St. Tammany Parish,louisiana,22103
741,North Star,Bexar County,texas,48029
742,Northbrook Court,Cook County,illinois,17031
743,NorthCross Shopping Center,Mecklenburg County,north carolina,37119
744,Northeast Plaza,Gwinnett County,georgia,13135
745,Northfield Square Mall,Kankakee County,illinois,17091
746,Northfield Stapleton,Denver County,colorado,8031
747,Northgate,Marin County,california,6041
748,Northgate Mall,Kitsap County,washington,53035
749,Northgate Mall,Hamilton County,ohio,39061
750,Northgate Mall,Hamilton County,tennessee,47065
751,Northgate Mall/Shops at Northgate,Durham County,north carolina,37063
752,Northlake Mall,Mecklenburg County,north carolina,37119
753,Northlake Mall,DeKalb County,georgia,13089
754,Northland Shopping Center,Wayne County,michigan,26163
755,Northline Commons,Madison County,texas,48313
756,NorthPark Center,Collin County,texas,48085
757,NorthPark Mall,Scott County,iowa,19163
758,Northpark Mall,Jasper County,missouri,29097
759,Northpark Mall,Rankin County,mississippi,28121
760,Northridge Fashion Center,Los Angeles County,california,6037
761,Northridge Mall,Santa Cruz County,california,6087
762,Northshore Mall,Essex County,massachusetts,25009
763,Northside Plaza,Broward County,florida,12011
764,Northtown Mall,Anoka County,minnesota,27003
765,NorthTown Mall,Spokane County,washington,53063
766,Northtowne Mall,Defiance County,ohio,39039
768,Northwest Arkansas Mall,Washington County,arkansas,5143
769,Northwest Mall,Harris County,texas,48201
770,Northwoods Mall,Charleston County,south carolina,45019
771,Northwoods Mall,Peoria County,illinois,17143
772,Norwalk Town Square,Los Angeles County,california,6037
773,Nut Tree,Solano County,california,6095
774,Oak Court Mall,Shelby County,tennessee,47157
775,Oak Hollow Mall,Guilford County,north carolina,37081
776,Oak Park Mall,Johnson County,kansas,20091
777,Oak View Mall,Douglas County,nebraska,31055
778,Oakbrook Shopping Center,Jasper County,georgia,13159
779,Oakdale Mall,Broome County,new york,36007
780,Oakland Mall,Wayne County,michigan,26163
781,Oakwood Center,Orleans Parish,louisiana,22071
782,Oakwood Mall,Garfield County,oklahoma,40047
783,Oakwood Mall,Coosa County,alabama,1037
784,Ocean County Mall,Ocean County,new jersey,34029
785,Oglethorpe Mall,Chatham County,georgia,13051
786,Ohio Valley Mall,Belmont County,ohio,39013
787,Old Capitol Town Center,Johnson County,iowa,19103
788,Old Hickory Mall,Madison County,tennessee,47113
789,Old Mill District at River Bend,Deschutes County,oregon,41017
790,Ontario Mills,Orange County,california,6059
791,Orange Park Mall,Duval County,florida,12031
792,Orland Square,Will County,illinois,17197
793,Orlando Fashion Square,Orange County,florida,12095
794,Otay Ranch Town Center,San Diego County,california,6073
795,Oviedo Marketplace,Seminole County,florida,12117
796,Owings Mills Mall,Baltimore County,maryland,24005
797,Oxford Valley Mall,Mercer County,new jersey,34021
798,Oxmoor Center,Norfolk city,virginia,51710
799,Pacific Place,Jefferson County,colorado,8059
800,Pacific View,Ventura County,california,6111
801,Paddock Mall,Marion County,florida,12083
802,Palisades Center,Rockland County,new york,36087
803,Palm Springs Mile,Miami-Dade County,florida,12086
804,Palmer Park Mall,Northampton County,pennsylvania,42095
805,Palouse Mall,Latah County,idaho,16057
806,Panama City Mall,Bay County,florida,12005
807,Panorama Mall,Los Angeles County,california,6037
808,Paradise Valley Mall,Maricopa County,arizona,4013
809,Paradise Village Gateway,Maricopa County,arizona,4013
810,Paramus Park,Bergen County,new jersey,34003
811,Park City Center,Lancaster County,pennsylvania,42071
812,Park Meadows,Denver County,colorado,8031
813,Park Place,Santa Cruz County,arizona,4023
814,Park Plaza Mall,Pulaski County,arkansas,5119
815,Park West Place,Miami-Dade County,florida,12086
816,Parkdale Mall,Orange County,texas,48361
817,Parkdale Mall,Orange County,texas,48361
818,Parkway Place Mall,Madison County,alabama,1089
819,Parmatown Mall & Plaza,Medina County,ohio,39103
820,Pasadena Town Square,Harris County,texas,48201
821,Paseo Colorado,Los Angeles County,california,6037
822,Paseo Nuevo,Santa Barbara County,california,6083
823,Patrick Henry Mall,Newport News city,virginia,51700
824,Patriot Place,Norfolk County,massachusetts,25021
825,Patton Creek,Shelby County,alabama,1117
826,Peach Shops at Byron,Peach County,georgia,13225
827,Peachtree Mall,Muscogee County,georgia,13215
828,Pearland Town Center,Harris County,texas,48201
830,Pecanland Mall,Ouachita Parish,louisiana,22073
831,Pemberton Square,Warren County,mississippi,28149
832,Pembroke Lakes Mall,Broward County,florida,12011
833,Pembroke Mall,Virginia Beach city,virginia,51810
834,Peninsula Town Center,Newport News city,virginia,51700
835,Penn Square Mall,Oklahoma County,oklahoma,40109
836,Perimeter Mall,Fulton County,georgia,13121
837,Peru Mall,LaSalle County,illinois,17099
838,Pheasant Lane Mall,Middlesex County,massachusetts,25017
839,Phillipsburg Mall,Northampton County,pennsylvania,42095
840,Phipps Plaza,Fulton County,georgia,13121
841,Piedmont Mall,Danville city,virginia,51590
842,Pier Park,Bay County,florida,12005
843,Pier Park,Bay County,florida,12005
844,Pierre Bossier Mall,Caddo Parish,louisiana,22017
845,Pike Place Market,Kitsap County,washington,53035
846,Pine Ridge Mall,Bingham County,idaho,16011
847,Pinnacle Hills Promenade,Benton County,arkansas,5007
848,Pioneer Place,Multnomah County,oregon,41051
849,Pittsford Plaza,Ontario County,new york,36069
850,Plaza at Landmark,Fairfax County,virginia,51059
851,Plaza Carolina Puerto Rico,Miami-Dade County,florida,12086
852,Plaza Del Sol,Kinney County,texas,48271
853,Plaza Fiesta,DeKalb County,georgia,13089
854,Plaza Mexico,Los Angeles County,california,6037
855,Pleasant Ridge Town Center,Pulaski County,arkansas,5119
856,Plymouth Meeting Mall,Montgomery County,pennsylvania,42091
857,Polaris Fashion Place,Delaware County,ohio,39041
858,Pony Village Mall,Coos County,oregon,41011
859,Port Charlotte Town Center,Charlotte County,florida,12015
860,Post Oak Mall,Brazos County,texas,48041
861,Potomac Mills,Prince William County,virginia,51153
862,Poughkeepsie Galleria,Dutchess County,new york,36027
863,Prescott Gateway Mall,Yavapai County,arizona,4025
864,Prien Lake Mall,Calcasieu Parish,louisiana,22019
866,Prince of Orange Mall,Orangeburg County,south carolina,45075
867,Princeton Forrestal Village,Mercer County,new jersey,34021
868,Princeton Shopping Center,Mercer County,new jersey,34021
869,Promenade at Casa Grande,Pinal County,arizona,4021
870,Promenade at Howard Hughes Center,Los Angeles County,california,6037
871,Promenade on Providence,Mecklenburg County,north carolina,37119
872,Promenade on the Peninsula,Los Angeles County,california,6037
873,Promenade Temecula,Orange County,california,6059
874,Providence MarketPlace,Wilson County,tennessee,47189
875,Providence Place,Providence County,rhode island,44007
876,Provo Towne Centre,Davis County,utah,49011
877,Pueblo Mall,Pueblo County,colorado,8101
878,Puente Hills,Orange County,california,6059
879,Quail Springs Mall,Oklahoma County,oklahoma,40109
880,Quaker Bridge Mall,Mercer County,new jersey,34021
882,Queens Center,Queens County,new york,36081
883,Queens Center,Queens County,new york,36081
884,Quincy Mall,Adams County,illinois,17001
885,Quintard Mall,Calhoun County,alabama,1015
886,Randolph Mall,Randolph County,north carolina,37151
887,Rapids Mall,Grand County,colorado,8049
888,Red Cliffs Mall,Washington County,utah,49053
889,Red Mill Commons/Red Mill Walk,Virginia Beach city,virginia,51810
890,Redmond Town Center,King County,washington,53033
891,Regency Mall,Racine County,wisconsin,55101
892,Regency Square,Richmond city,virginia,51760
893,Regency Square Mall,Duval County,florida,12031
894,Regency Square Mall,Lauderdale County,alabama,1077
895,Renaissance at Colony Park,Madison County,mississippi,28089
896,Reston Town Center,New Hanover County,north carolina,37129
897,Ridgedale Center,Hennepin County,minnesota,27053
898,Ridgeview Marketplace,Hennepin County,minnesota,27053
899,Ridgmar Mall,Tarrant County,texas,48439
900,Richardson Square Mall,Dallas County,texas,48113
901,Richland Mall,McLennan County,texas,48309
902,Richland Mall,Richland County,ohio,39139
903,Richland Mall,McLennan County,texas,48309
904,Richmond Square Mall,Wayne County,indiana,18177
905,Richmond Town Square,Geauga County,ohio,39055
906,Rimrock Mall,Yellowstone County,montana,30111
907,Rio West Mall,Apache County,arizona,4001
908,River City Marketplace,Sussex County,virginia,51183
909,River Crossing Market Place,Knox County,tennessee,47093
910,River Hills Mall,Blue Earth County,minnesota,27013
911,River Oaks Center,Lake County,indiana,18089
912,River Park,Fresno County,california,6019
913,River Park Square,Spokane County,washington,53063
914,River Ridge Mall,Lynchburg city,virginia,51680
915,River Valley Mall,Fairfield County,ohio,39045
916,Rivercenter,Crockett County,tennessee,47033
917,RiverGate Mall,Davidson County,tennessee,47037
918,Riverchase Galleria,Shelby County,alabama,1117
919,Riverside Plaza,Orange County,california,6059
920,Riverstone Plaza,Cherokee County,georgia,13057
921,RiverTown Crossings,Kent County,michigan,26081
922,Riverwalk Marketplace,Orleans Parish,louisiana,22071
923,Rock Hill Galleria,York County,south carolina,45091
924,Rockaway Townsquare,Morris County,new jersey,34027
925,Rogue Valley Mall,Jackson County,oregon,41029
926,Rolling Oaks Mall,Bexar County,texas,48029
927,Roosevelt Field,Nassau County,new york,36059
928,Roseburg Valley Mall,Douglas County,oregon,41019
929,Rosedale Center,Ramsey County,minnesota,27123
930,Ross Park Mall,Allegheny County,pennsylvania,42003
931,Rotterdam Square,Schenectady County,new york,36093
933,Rushmore Mall ,Pennington County,south dakota,46103
934,Rye Ridge Shopping Center,Huron County,ohio,39077
935,Saint Louis Galleria,St. Louis County,missouri,29189
936,Salem Center,Polk County,oregon,41053
937,Salmon Run Mall,Jefferson County,new york,36045
938,San Bruno Towne Center,San Mateo County,california,6081
939,San Jacinto Mall,Kimble County,texas,48267
940,Sandusky Mall,Washington County,maine,23029
941,Sangertown Square,Oneida County,new york,36065
942,Santa Fe Place,Santa Fe County,new mexico,35049
943,Santa Maria Town Center,San Luis Obispo County,california,6079
944,Santa Monica Place,Los Angeles County,california,6037
945,Santa Rosa Mall,Okaloosa County,florida,12091
946,Santa Rosa Plaza,Sonoma County,california,6097
947,SanTan Village,Pinal County,arizona,4021
948,Santana Row,Santa Clara County,california,6085
949,Savannah Mall,Chatham County,georgia,13051
950,Sawgrass Mills,Broward County,florida,12011
951,Sawmill Square Mall,Putnam County,new york,36079
952,Scottsdale Fashion Square,Maricopa County,arizona,4013
953,Scottsdale Pavilions,Maricopa County,arizona,4013
954,Scottsdale Quarter,Maricopa County,arizona,4013
955,Seacliff Village Shopping Center,Harris County,texas,48201
956,Seaport Village,San Diego County,california,6073
957,Security Square Mall,Baltimore city,maryland,24510
958,Selma Mall,Dallas County,alabama,1047
959,Seminole Towne Center,Seminole County,florida,12117
960,Serramonte Center,Ramsey County,minnesota,27123
961,Settlers' Green Outlet Village,Carroll County,new hampshire,33003
962,Shadow Lake Towne Center,Van Buren County,michigan,26159
963,Shawnee Mall,Pottawatomie County,oklahoma,40125
964,Shenango Valley Mall,Mercer County,pennsylvania,42085
965,Sherman Oaks Galleria,Los Angeles County,california,6037
966,Sherwood Mall,San Joaquin County,california,6077
967,Shoppes at Seaside Farms,York County,south carolina,45091
968,Shopping At The Rose,Ventura County,california,6111
969,ShoppingTown Mall,Onondaga County,new york,36067
970,Shops at North Bridge,Cook County,illinois,17031
971,Shops at Station Square,Allegheny County,pennsylvania,42003
972,Shore Mall,Atlantic County,new jersey,34001
973,Short Pump Town Center,Richmond city,virginia,51760
974,Schuylkill Mall,Berkeley County,west virginia,54003
975,Sierra Vista Mall,Fresno County,california,6019
976,Sikes Senter,Wichita County,texas,48485
977,Silver City Galleria,Bristol County,massachusetts,25005
978,Silver Lake Mall,Kootenai County,idaho,16055
979,Simi Valley Town Center,Ventura County,california,6111
980,Singing River Mall,Calcasieu Parish,louisiana,22019
981,Smith Haven Mall,Suffolk County,new york,36103
982,Solana Beach Towne Centre I-IV,Washington County,maine,23029
983,Solomon Pond Mall,Middlesex County,massachusetts,25017
984,Somersville Towne Center,Contra Costa County,california,6013
985,Sooner Mall,Cleveland County,oklahoma,40027
986,South Bay Galleria,Los Angeles County,california,6037
987,South Coast Plaza,Orange County,california,6059
988,South County Center,St. Louis city,missouri,29510
989,South Hill Mall,Pierce County,washington,53053
990,South Hills Village,Allegheny County,pennsylvania,42003
991,South Mall,Lehigh County,pennsylvania,42077
992,South Park Mall,Bexar County,texas,48029
993,South Plains Mall,Lubbock County,texas,48303
994,South Shore Plaza,Suffolk County,massachusetts,25025
995,South Side Mall,Mingo County,west virginia,54059
996,South Street Seaport,Hudson County,new jersey,34017
997,South Towne Center,Salt Lake County,utah,49035
998,Southaven Towne Center,DeSoto County,mississippi,28033
999,SouthBay Pavilion,Los Angeles County,california,6037
1000,Southbridge Mall,Cerro Gordo County,iowa,19033
1001,Southdale Center,Hennepin County,minnesota,27053
1002,Southdale Shopping Center,District of Columbia,district of columbia,11001
1003,Southern Hills Mall,Dakota County,nebraska,31043
1004,Southern Park Mall,Mahoning County,ohio,39099
1005,Southgate Mall,Missoula County,montana,30063
1006,Southgate Plaza,Union County,south carolina,45087
1007,Southgate USA,Geauga County,ohio,39055
1008,Southlake Mall,Clayton County,georgia,13063
1009,Southlake Town Square,Tarrant County,texas,48439
