mallid,mall,state,county,geoid
1010,Southland Center,Wayne County,michigan,26163
1011,Southland Mall,Terrebonne Parish,louisiana,22109
1012,Southland Mall,Miami-Dade County,florida,12086
1013,Southland Mall,Alameda County,california,6001
1014,Southland Mall,DeSoto County,mississippi,28033
1015,Southlands Town Center,Denver County,colorado,8031
1016,SouthPark Charlotte,Mecklenburg County,north carolina,37119
1017,Southpark Mall,Colonial Heights city,virginia,51570
1018,SouthPark Mall Moline,Rock Island County,illinois,17161
1019,SouthPointe Pavilions S/C,Lancaster County,nebraska,31109
1020,Southport Plaza,Horry County,south carolina,45051
1021,Southridge Mall,Waukesha County,wisconsin,55133
1022,Southridge Mall,Polk County,iowa,19153
1023,Southside Mall,Otsego County,new york,36077
1024,SouthSide Works,Allegheny County,pennsylvania,42003
1025,Southwest Plaza,Jefferson County,colorado,8059
1026,Spokane Valley Mall,Spokane County,washington,53063
1027,Spotsylvania Towne Centre,Sussex County,virginia,51183
1028,Spring Hill Mall,Kane County,illinois,17089
1029,Springfield Mall,Delaware County,pennsylvania,42045
1030,Springfield Mall,Sussex County,virginia,51183
1031,Square One Mall,Suffolk County,massachusetts,25025
1032,St. Clair Square,St. Clair County,illinois,17163
1033,St. Clair Square Mall,St. Clair County,illinois,17163
1034,St. Charles Towne Plaza,Charles County,maryland,24017
1035,St. Johns Town Center,Duval County,florida,12031
1036,St. Lawrence Centre,St. Lawrence County,new york,36089
1037,St. Louis Mills,St. Louis County,missouri,29189
1038,St. Louis Union Station,St. Louis city,missouri,29510
1039,Stamford Town Center,Westchester County,new york,36119
1040,Stamford Town Center,Westchester County,new york,36119
1041,Stanford Shopping Center,San Mateo County,california,6081
1042,Staten Island Mall,Richmond County,new york,36085
1043,Statesboro Mall,Bulloch County,georgia,13031
1044,Steeplegate Mall,Merrimack County,new hampshire,33013
1045,Stonebriar Centre,Collin County,texas,48085
1046,StoneCrest at Piper Glen,Mecklenburg County,north carolina,37119
1047,Stoneridge Shopping Center,Alameda County,california,6001
1048,Stones River Mall,Rutherford County,tennessee,47149
1049,Stonestown Galleria,San Mateo County,california,6081
1050,Stonewood Center,Los Angeles County,california,6037
1051,Stony Point Fashion Park,Richmond city,virginia,51760
1052,Streets at Tanasbourne,Washington County,oregon,41067
1053,Stroud Mall,Monroe County,pennsylvania,42089
1054,Stuyvesant Plaza,Albany County,new york,36001
1055,Sugar Land Town Square,Campbell County,wyoming,56005
1056,Sugarloaf Mills,Gwinnett County,georgia,13135
1057,Summit Mall,Summit County,ohio,39153
1058,SummitWoods Crossing,Jackson County,missouri,29095
1059,Sumter Mall,Sumter County,south carolina,45085
1060,Sundance Square,Salt Lake County,utah,49035
1061,Sunland Park Mall,El Paso County,texas,48141
1062,Sunrise Mall,Cameron County,texas,48061
1063,Sunrise Mall,Sacramento County,california,6067
1064,Sunset Mall,Tom Green County,texas,48451
1065,Sunset Plaza,Madison County,nebraska,31119
1066,Sunvalley Shopping Center,Contra Costa County,california,6013
1067,Supermall,Pierce County,washington,53053
1068,Superstition Springs Center,Pinal County,arizona,4021
1069,Susquehanna Valley Mall,Northumberland County,pennsylvania,42097
1070,Swansea Mall,Bristol County,rhode island,44001
1071,Sycamore Mall,Johnson County,iowa,19103
1072,Tackett's Mill,Prince William County,virginia,51153
1073,Tacoma Mall,Pierce County,washington,53053
1074,Tallahassee Mall,Leon County,florida,12073
1075,"Tanger Five Oaks, Sevierville Tennessee",Sevier County,tennessee,47155
1076,Tanglewood Mall,Lebanon County,pennsylvania,42075
1077,Teal Plaza,Tippecanoe County,indiana,18157
1078,Tempe Marketplace,Maricopa County,arizona,4013
1079,Temple Mall,Bell County,texas,48027
1080,Terra Vista Town Center,Orange County,california,6059
1081,The 900 Shops,Cook County,illinois,17031
1082,The Americana at Brand,Los Angeles County,california,6037
1083,The Arboretum of South Barrington,Shelby County,tennessee,47157
1084,The Arboretum Shopping Center,Windham County,connecticut,9015
1085,The Avenue at White Marsh,Baltimore city,maryland,24510
1086,The Avenue Carriage Crossing,Shelby County,tennessee,47157
1087,The Avenue East Cobb,Cobb County,georgia,13067
1088,The Avenue Forsyth,Forsyth County,georgia,13117
1089,The Avenue Murfreesboro,Rutherford County,tennessee,47149
1090,The Avenue Peachtree City,Fayette County,georgia,13113
1091,The Avenue Viera,Brevard County,florida,12009
1092,The Avenue Webb Gin,Gwinnett County,georgia,13135
1093,The Avenue West Cobb,Cobb County,georgia,13067
1094,The Avenues,Duval County,florida,12031
1095,The Bay Terrace,Morton County,north dakota,38059
1096,The Bell Tower Shops,Lee County,florida,12071
1097,The Block at Orange,Orange County,california,6059
1098,The Centre at Salisbury,Wicomico County,maryland,24045
1099,The Citadel,El Paso County,colorado,8041
1100,The Commons at Calabasas,Los Angeles County,california,6037
1101,The Commons at Federal Way,King County,washington,53033
1102,The Crossings of Spring Hill,Williamson County,tennessee,47187
1103,The Crossroads,Kalamazoo County,michigan,26077
1104,The Esplanade,St. Charles Parish,louisiana,22089
1105,The Falls,Miami-Dade County,florida,12086
1106,The Falls,Aiken County,south carolina,45003
1107,The Florida Mall,Orange County,florida,12095
1108,The Forum at Carlsbad,San Diego County,california,6073
1109,The Forum At Olympia Parkway,Bexar County,texas,48029
1110,The Friendly Center,Guilford County,north carolina,37081
1111,The Galleria,Harris County,texas,48201
1112,The Galleria at Ft. Lauderdale,Broward County,florida,12011
1113,The Galleria at Pittsburgh Mills,Allegheny County,pennsylvania,42003
1114,The Galleria at White Plains,Westchester County,new york,36119
1115,The Galleria of Mt. Lebanon,Allegheny County,pennsylvania,42003
1116,The Gallery At Market East,Philadelphia County,pennsylvania,42101
1117,The Gallery at Military Circle,Virginia Beach city,virginia,51810
1118,The Gardens Mall,Martin County,florida,12085
1119,The Gardens on El Paseo,Riverside County,california,6065
1120,The Gateway,Franklin County,idaho,16041
1121,The Glen Town Center,Cook County,illinois,17031
1122,The Great Mall of the Great Plains,Johnson County,kansas,20091
1123,The Greene,Montgomery County,ohio,39113
1124,The Grove,Los Angeles County,california,6037
1125,The Lakes Mall,Ottawa County,michigan,26139
1126,The Legends at Village West,Wyandotte County,kansas,20209
1127,The Mall at Barnes Crossing,La Paz County,arizona,4012
1128,The Mall at Cortana,East Baton Rouge Parish,louisiana,22033
1129,The Mall at Fairfield Commons,Greene County,ohio,39057
1130,The Mall at Greece Ridge,Monroe County,new york,36055
1131,The Mall at Green Hills,Davidson County,tennessee,47037
1132,The Mall at Chestnut Hill,Suffolk County,massachusetts,25025
1133,The Mall at Johnson City,Washington County,tennessee,47179
1134,The Mall at Millenia,Orange County,florida,12095
1135,The Mall at Partridge Creek,Macomb County,michigan,26099
1136,The Mall at Prince Georges,District of Columbia,district of columbia,11001
1137,The Mall at Robinson,Allegheny County,pennsylvania,42003
1138,The Mall at Shelter Cove,Beaufort County,south carolina,45013
1139,The Mall at Short Hills,Union County,new jersey,34039
1140,The Mall at Short Hills,Union County,new jersey,34039
1141,The Mall at Sierra Vista,Santa Cruz County,arizona,4023
1142,The Mall at Steamtown,Lackawanna County,pennsylvania,42069
1143,The Mall at Stonecrest,Rockdale County,georgia,13247
1144,The Mall at Turtle Creek,Craighead County,arkansas,5031
1145,The Mall at Tuttle Crossing,Franklin County,ohio,39049
1146,The Mall at Wellington Green,Palm Beach County,florida,12099
1147,The Mall at Wellington Green,Palm Beach County,florida,12099
1148,The Mall at Whitney Field,Middlesex County,massachusetts,25017
1149,The Mall in Columbia,Howard County,maryland,24027
1150,The Mall of Acadiana,Lafayette Parish,louisiana,22055
1151,The Mall of Monroe,Monroe County,michigan,26115
1152,The Mall of Victor Valley,Davis County,utah,49011
1153,The Market Common,Horry County,south carolina,45051
1154,The Market Place,Orange County,california,6059
1155,The Marketplace at Factoria,King County,washington,53033
1156,The Marketplace Mall,Ontario County,new york,36069
1157,The McHenry Village,Stanislaus County,california,6099
1158,The Meadows at Lake Saint Louis,St. Charles County,missouri,29183
1159,The Oaks,Ventura County,california,6111
1160,The Oaks Mall,Alachua County,florida,12001
1161,The Oaks Mall,Alachua County,florida,12001
1162,The Oaks Shopping Center,Rutherford County,tennessee,47149
1163,The Orchard Town Center,Broomfield County,colorado,8014
1164,The Orchards Mall,Van Buren County,michigan,26159
1165,The Parks at Arlington,Tarrant County,texas,48439
1166,The Pavilions at Talking Stick,Maricopa County,arizona,4013
1167,The Pier Shops at Caesars,Atlantic County,new jersey,34001
1168,The Plaza at Buckland Hills,Hartford County,connecticut,9003
1169,The Plaza at Robinson Town Centre,Allegheny County,pennsylvania,42003
1170,The Plaza Mall,DuPage County,illinois,17043
1171,The Promenade at Sagemore,Camden County,new jersey,34007
1172,The Promenade at Westlake,Ventura County,california,6111
1173,The Promenade Bolingbrook,DuPage County,illinois,17043
1174,The Promenade Shops at Briargate,El Paso County,colorado,8041
1175,The Promenade Shops at Centerra,Boulder County,colorado,8013
1176,The Promenade Shops at Clifton,Essex County,new jersey,34013
1177,The Promenade Shops at Dos Lagos,Orange County,california,6059
1178,The Promenade Shops at Evergreen Walk,Hartford County,connecticut,9003
1179,The Promenade Shops at Saucon Valley,Lehigh County,pennsylvania,42077
1180,The Rim,Kendall County,texas,48259
1181,The River at Rancho Mirage,Riverside County,california,6065
1182,The Shoppes at Arbor Lakes,Hennepin County,minnesota,27053
1183,The Shoppes at Blackstone Valley,Worcester County,massachusetts,25027
1184,The Shoppes at Buckland Hills,Hartford County,connecticut,9003
1185,The Shoppes at EastChase,Montgomery County,alabama,1101
1186,The Shoppes at Farmington Valley,Hartford County,connecticut,9003
1187,The Shoppes at Grand Prairie,Peoria County,illinois,17143
1188,The Shoppes at Chino Hills,Orange County,california,6059
1189,The Shoppes at Montage,Lackawanna County,pennsylvania,42069
1190,The Shoppes at River Crossing,Bibb County,georgia,13021
1191,The Shoppes at Warehouse Row,Hamilton County,tennessee,47065
1192,The Shops at Anaheim GardenWalk,Orange County,california,6059
1193,The Shops at Arbor Walk,Travis County,texas,48453
1194,The Shops at Atlas Park,Clearfield County,pennsylvania,42033
1195,The Shops at Canal Place,Orleans Parish,louisiana,22071
1196,The Shops at Dos Lagos,Orange County,california,6059
1197,The Shops at Gainey Village,Maricopa County,arizona,4013
1198,The Shops at Greenridge,Laurens County,south carolina,45059
1199,The Shops at Ithaca Mall,Tompkins County,new york,36109
1200,The Shops at La Cantera,Bexar County,texas,48029
1201,The Shops at La Jolla,San Diego County,california,6073
1202,The Shops at Legacy,Collin County,texas,48085
1203,The Shops at Liberty Place,Philadelphia County,pennsylvania,42101
1204,The Shops at Mission Viejo,Orange County,california,6059
1205,The Shops at Montebello,Los Angeles County,california,6037
1206,The Shops at Norterra,Maricopa County,arizona,4013
1207,The Shops at North Bridge,Macomb County,michigan,26099
1208,The Shops at Pembroke Gardens,Broward County,florida,12011
1209,The Shops at Prudential Center,Suffolk County,massachusetts,25025
1210,The Shops at Riverside,Bergen County,new jersey,34003
1211,The Shops at Sunset Place,Miami-Dade County,florida,12086
1212,The Shops at Tanforan,San Mateo County,california,6081
1213,The Shops at the Mart,Cook County,illinois,17031
1214,The Shops at Waldorf Center,Medina County,ohio,39103
1215,The Shops at White Oak Village,Bath County,kentucky,21011
1216,The Shops at Willow Bend,Dallas County,texas,48113
1217,The Shops at Wiregrass,Pasco County,florida,12101
1218,The Shops of Grand Avenue,Outagamie County,wisconsin,55087
1219,The Shops of Legacy,Douglas County,nebraska,31055
1220,The Shops of Saddle Creek,Shelby County,tennessee,47157
1221,The Somerset Collection,Oakland County,michigan,26125
1222,The Streets at SouthGlenn,Denver County,colorado,8031
1223,The Streets at Southpoint,Durham County,north carolina,37063
1224,The Streets of Indian Lake,Sumner County,tennessee,47165
1225,The Summit Birmingham,Jefferson County,alabama,1073
1226,The Tucson Mall,Pima County,arizona,4019
1227,The Village at Allen,Collin County,texas,48085
1228,The Village at Corte Madera,Marin County,california,6041
1229,The Village at Corte Madera,Marin County,california,6041
1230,The Village at Fairview,Collin County,texas,48085
1231,The Village at Leesburg,Jefferson County,alabama,1073
1232,The Village at Orange,Orange County,california,6059
1233,The Village of Rochester Hills,Oakland County,michigan,26125
1234,The Village Shoppes,Norfolk County,massachusetts,25021
1235,The Village Shopping Center,Denver County,colorado,8031
1236,The Waterside at Marina Del Rey,Los Angeles County,california,6037
1237,The Westchester,Westchester County,new york,36119
1238,The Wharf,Baldwin County,alabama,1003
1239,The Woodlands Mall,Montgomery County,texas,48339
1240,Three Rivers Mall,Shasta County,california,6089
1241,Time Warner-Shops @ Columbus Circle,New York County,new york,36061
1242,Tippecanoe Mall,Tippecanoe County,indiana,18157
1243,Tippecanoe Plaza,Tippecanoe County,indiana,18157
1244,Tower City Center,Cuyahoga County,ohio,39035
1245,Tower Square,Hampden County,massachusetts,25013
1246,Town & Country,Montgomery County,ohio,39113
1247,Town & Country Village,Caledonia County,vermont,50005
1248,Town Center at Aurora,Denver County,colorado,8031
1249,Town Center at Boca Raton,Broward County,florida,12011
1250,Town Center at Cobb,Cobb County,georgia,13067
1251,Town Center Corte Madera,Marin County,california,6041
1253,Town Center Plaza,Johnson County,kansas,20091
1254,Town East Mall,Dallas County,texas,48113
1255,Towne Center at Cedar Lodge,East Baton Rouge Parish,louisiana,22033
1256,Towne East Square,Sedgwick County,kansas,20173
1257,Towne Mall,Hardin County,kentucky,21093
1258,Towne Mall,Warren County,ohio,39165
1259,Towne Square Mall,Daviess County,kentucky,21059
1260,Towne West Square,Sedgwick County,kansas,20173
1261,TownMall of Westminster,Carroll County,maryland,24013
1262,Towson Town Center,Baltimore County,maryland,24005
1263,Treasure Coast Square,Martin County,florida,12085
1264,Treasure Valley Marketplace,Canyon County,idaho,16027
1265,Triangle Town Center,Wake County,north carolina,37183
1266,Tri-County Mall,Hamilton County,ohio,39061
1267,Trolley Square,Salt Lake County,utah,49035
1268,Tulsa Promenade,Tulsa County,oklahoma,40143
1269,Turtle Creek Mall,Forrest County,mississippi,28035
1270,Twelve Oaks Mall,Oakland County,michigan,26125
1271,Twenty Ninth Street,Boulder County,colorado,8013
1272,Twin Peaks Mall,Broomfield County,colorado,8014
1273,Tyrone Square Mall,Pinellas County,florida,12103
1274,Tysons Corner Center,Falls Church city,virginia,51610
1275,Tysons Galleria,Fairfax city,virginia,51600
1276,Underground Atlanta,Fulton County,georgia,13121
1277,Union Station Atlanta,Spartanburg County,south carolina,45083
1278,Uniontown Mall,Fayette County,pennsylvania,42051
1279,Universal CityWalk,Los Angeles County,california,6037
1280,Universal Shopping Center,Macomb County,michigan,26099
1281,University Mall,Orange County,north carolina,37135
1282,University Mall,Tuscaloosa County,alabama,1125
1283,University Mall,Escambia County,florida,12033
1284,University Mall,Jefferson County,new york,36045
1285,University Mall,Chittenden County,vermont,50007
1286,University Mall Carbondale,Jackson County,illinois,17077
1287,University Park Mall,St. Joseph County,indiana,18141
1288,University Park Village,Tarrant County,texas,48439
1289,University Village,Platte County,nebraska,31141
1290,Upper Valley Mall,Clark County,ohio,39023
1291,Uptown Park,Harris County,texas,48201
1292,Uptown Village at Cedar Hill,Salt Lake County,utah,49035
1293,Utica Square Shopping Center,Tulsa County,oklahoma,40143
1294,Valdosta Mall,Lowndes County,georgia,13185
1295,Valencia Marketplace,Los Angeles County,california,6037
1296,Vallco Shopping Mall,Santa Clara County,california,6085
1297,Valle Vista Mall,Cameron County,texas,48061
1298,Valley Fair Mall,Gooding County,idaho,16047
1299,Valley Hills Mall,Catawba County,north carolina,37035
1300,Valley Mall,Harrisonburg city,virginia,51660
1301,Valley Mall,Washington County,maryland,24043
1302,Valley Mall,Salt Lake County,utah,49035
1303,Valley River Center,Lane County,oregon,41039
1304,Valley Square,Bucks County,pennsylvania,42017
1305,Valley View Center,Dallas County,texas,48113
1306,Valley View Center,Dallas County,texas,48113
1307,Valley View Mall,Roanoke city,virginia,51770
1308,Valley View Mall,La Crosse County,wisconsin,55063
1309,Valley View Mall,Clay County,florida,12019
1310,Valley West Mall,Polk County,iowa,19153
1311,Vestavia Hills City Center,Horry County,south carolina,45051
1312,Victoria Gardens,Orange County,california,6059
1313,Victoria Mall,Navarro County,texas,48349
1314,Viewmont Mall,Lackawanna County,pennsylvania,42069
1315,Villa Marina Marketplace,Los Angeles County,california,6037
1316,Village at Sandhill,Richland County,south carolina,45079
1317,Village Crossing,Cook County,illinois,17031
1318,Village Mall,Lee County,alabama,1081
1319,Village of Merrick Park,Miami-Dade County,florida,12086
1320,Village Pointe,Seward County,nebraska,31159
1321,Vintage Faire Mall,Stanislaus County,california,6099
1322,Vintage Oaks At Novato,Marin County,california,6041
1323,Vintage Park,Harris County,texas,48201
1324,Virginia Center Commons,Hanover County,virginia,51085
1325,Visalia Mall,Tulare County,california,6107
1326,Vista Ridge Mall,Dallas County,texas,48113
1327,Volusia Mall,Volusia County,florida,12127
1328,Voorhees Town Center,Camden County,new jersey,34007
1331,Walden Galleria,Erie County,new york,36029
1332,Walnut Square,Whitfield County,georgia,13313
1333,Walt Whitman Mall,Nassau County,new york,36059
1335,Ward Parkway Center,Johnson County,kansas,20091
1336,Wareham Crossing,Plymouth County,massachusetts,25023
1337,Warwick Mall,Kent County,rhode island,44003
1338,Washington Crown Center,Washington County,pennsylvania,42125
1339,Washington Park Mall,Washington County,oklahoma,40147
1340,Washington Square,Washington County,oregon,41067
1341,Washington Square,Marion County,indiana,18097
1342,Washingtonian Center,Montgomery County,maryland,24031
1343,Water Tower Place,Cook County,illinois,17031
1344,Waterford Lakes Town Center,Orange County,florida,12095
1345,Waterford Lakes Town Center,San Juan County,washington,53055
1346,Waterfront Towne Center,Allegheny County,pennsylvania,42003
1347,Waterworks Mall,Allegheny County,pennsylvania,42003
1348,Watters Creek at Montgomery Farm,Prentiss County,mississippi,28117
1349,Wausau Center,Marathon County,wisconsin,55073
1350,Weberstown Mall,San Joaquin County,california,6077
1351,Wenatchee Valley Mall,Kittitas County,washington,53037
1352,West Acres Shopping Center,Clay County,minnesota,27027
1353,West County Center,St. Louis city,missouri,29510
1354,West Manchester Mall,Cullman County,alabama,1043
1355,West Oaks Mall,Orange County,florida,12095
1356,West Oaks Mall Houston,Fort Bend County,texas,48157
1357,West Park Mall,Cape Girardeau County,missouri,29031
1358,West Ridge Mall,Shawnee County,kansas,20177
1359,West Town Mall,Knox County,tennessee,47093
1360,West Towne Mall,Dane County,wisconsin,55025
1361,West Valley Mall,San Joaquin County,california,6077
1362,Westdale Mall,Linn County,iowa,19113
1363,Westfarms,Hartford County,connecticut,9003
1364,Westfield  Louis Joliet Shopping Centre,Will County,illinois,17197
1365,Westfield  Solano Shopping Centre,Solano County,california,6095
1366,Westfield Annapolis Shopping Centre,Anne Arundel County,maryland,24003
1367,Westfield Belden Village Shopping Centre,Stark County,ohio,39151
1368,Westfield Brandon Shopping Centre,Hillsborough County,florida,12057
1369,Westfield Broward Shopping Centre,Broward County,florida,12011
1370,Westfield Capital Shopping Centre,Thurston County,washington,53067
1371,Westfield Century City,Los Angeles County,california,6037
1372,Westfield Citrus Park Shopping Centre,Pinellas County,florida,12103
1373,Westfield Connecticut Post Shopping Centre,New Haven County,connecticut,9009
1374,Westfield Countryside Shopping Centre,Pinellas County,florida,12103
1375,Westfield Culver City Mall,Los Angeles County,california,6037
1376,Westfield Downtown Plaza Shopping Centre,Sacramento County,california,6067
1377,Westfield Eastland,Los Angeles County,california,6037
1378,Westfield Eastridge Shopping Centre,Gaston County,north carolina,37071
1379,Westfield Fashion Square Shopping Centre,Los Angeles County,california,6037
1380,Westfield Fox Valley Shopping Centre,DuPage County,illinois,17043
1381,Westfield Franklin Park Shopping Centre,Lucas County,ohio,39095
1382,Westfield Galleria at Roseville,Sacramento County,california,6067
1383,Westfield Garden State Plaza,Bergen County,new jersey,34003
1384,Westfield Gateway Shopping Centre,Lancaster County,nebraska,31109
1385,Westfield Great Northern Shopping Centre,Lorain County,ohio,39093
1386,Westfield Hawthorn Shopping Centre,McHenry County,illinois,17111
1387,Westfield Horton Plaza Shopping Centre,San Diego County,california,6073
1388,Westfield Chicago Ridge Shopping Centre,Cook County,illinois,17031
1389,Westfield MainPlace Shopping Centre,Orange County,california,6059
1390,Westfield Meriden Shopping Centre,New Haven County,connecticut,9009
1391,Westfield Mission Valley Shopping Centre,San Diego County,california,6073
1392,Westfield Montgomery,Montgomery County,maryland,24031
1393,Westfield North County Shopping Centre,San Diego County,california,6073
1394,Westfield Oakridge Shopping Centre,Santa Clara County,california,6085
1395,Westfield Old Orchard,Cook County,illinois,17031
1396,Westfield Palm Desert Shopping Centre,Riverside County,california,6065
1397,Westfield Parkway,San Diego County,california,6073
1398,Westfield Plaza Bonita Shopping Centre,San Diego County,california,6073
1399,Westfield Plaza Camino Real,San Diego County,california,6073
1400,Westfield Promenade,Los Angeles County,california,6037
1401,Westfield San Francisco Centre,San Mateo County,california,6081
1402,Westfield Santa Anita Shopping Centre,Los Angeles County,california,6037
1403,Westfield Sarasota Square Shopping Center,Sarasota County,florida,12115
1404,Westfield South Shore Shopping Centre,Nassau County,new york,36059
1405,Westfield Southcenter Shopping Centre,King County,washington,53033
1406,Westfield Southgate Shopping Centre,Sarasota County,florida,12115
1407,Westfield Southlake,Lake County,indiana,18089
1408,Westfield SouthPark Shopping Centre,Medina County,ohio,39103
1409,Westfield Sunrise Shopping Centre,Nassau County,new york,36059
1410,Westfield Topanga,Los Angeles County,california,6037
1411,Westfield Trumbull Shopping Centre,Fairfield County,connecticut,9001
1412,Westfield UTC,San Diego County,california,6073
1413,Westfield Valencia Town Center Shopping Centre,Los Angeles County,california,6037
1414,Westfield Valley Fair,Santa Clara County,california,6085
1415,Westfield Vancouver Shopping Centre,Clark County,washington,53011
1416,Westfield West Covina Shopping Centre,Los Angeles County,california,6037
1417,Westfield Westland Shopping Centre,Miami-Dade County,florida,12086
1418,Westfield Wheaton Shopping Centre,District of Columbia,district of columbia,11001
1419,Westgate City Center,Maricopa County,arizona,4013
1420,Westgate Mall,Norfolk County,massachusetts,25021
1421,WestGate Mall,Spartanburg County,south carolina,45083
1422,Westgate Mall,Northampton County,pennsylvania,42095
1423,Westgate Mall Amarillo,Potter County,texas,48375
1424,Westlake Center,Costilla County,colorado,8023
1425,Westland Center,Wayne County,michigan,26163
1426,Westland Mall,Des Moines County,iowa,19057
1427,Westland Mall,Montgomery County,maryland,24031
1428,Westminster Mall,Orange County,california,6059
1429,Westmoreland Mall,Westmoreland County,pennsylvania,42129
1430,Westroads Mall,Douglas County,nebraska,31055
1431,WestShore Plaza,Hillsborough County,florida,12057
1432,Westside Pavilion,Los Angeles County,california,6037
1433,Westwood Mall,Jackson County,michigan,26075
1434,Westwood Shopping Center,Cumberland County,north carolina,37051
1435,Westwood Village,Kitsap County,washington,53035
1436,White Flint,Montgomery County,maryland,24031
1437,White Marsh Mall,Baltimore city,maryland,24510
1438,White Mountain Mall,Napa County,california,6055
1439,White Oaks Mall,Sangamon County,illinois,17167
1440,White Oaks Plaza,Sangamon County,illinois,17167
1441,Whittwood Town Center,Orange County,california,6059
1442,Willow Grove Park,Philadelphia County,pennsylvania,42101
1443,Willowbrook Mall,Essex County,new jersey,34013
1444,Willowbrook Mall,Harris County,texas,48201
1445,Wilson Mall,Wilson County,north carolina,37195
1446,Wilton Mall,Saratoga County,new york,36091
1447,Winston Plaza,Cook County,illinois,17031
1448,Winter Garden Villg-Fowler Groves,Lake County,florida,12069
1450,Wiregrass Commons Mall,Houston County,alabama,1069
1451,Wolf Ranch Town Center,Williamson County,texas,48491
1452,Wolfchase Galleria,Shelby County,tennessee,47157
1453,Woodbridge Center,Union County,new jersey,34039
1454,Woodburn Company Stores,Yamhill County,oregon,41071
1455,Woodbury Lakes,Washington County,minnesota,27163
1456,Woodfield Shopping Center,DuPage County,illinois,17043
1457,Woodland,Kent County,michigan,26081
1458,Woodland Hills Mall,Tulsa County,oklahoma,40143
1459,Wyoming Valley Mall,Luzerne County,pennsylvania,42079
1460,York Galleria,York County,pennsylvania,42133
1461,Yorktown Shopping Center,DuPage County,illinois,17043
1462,Yuba Sutter Mall,Sutter County,california,6101
1463,Yuba Sutter Mall,Sutter County,california,6101
1464,Yuma Palms,Yuma County,arizona,4027
1465,Zona Rosa,Platte County,missouri,29165
